2020年5月01日,4.62,4.70,4.30,4.57,4.57,6746800
2020年4月30日,5.01,5.09,4.50,4.92,4.92,11235600
2020年4月29日,4.54,5.53,4.47,5.19,5.19,27162400
2020年4月28日,3.82,4.75,3.50,4.14,4.14,21601100
2020年4月27日,3.19,3.40,3.06,3.36,3.36,5667200
2020年4月24日,3.14,3.20,3.02,3.05,3.05,3623700
2020年4月23日,3.20,3.25,3.08,3.11,3.11,4318800
2020年4月22日,3.39,3.39,3.16,3.18,3.18,4568600
2020年4月21日,3.20,3.38,3.15,3.25,3.25,5788400
2020年4月20日,3.22,3.44,3.06,3.18,3.18,10787200
2020年4月17日,3.85,3.85,3.05,3.20,3.20,26799900
2020年4月16日,2.35,2.49,2.15,2.44,2.44,6290800
2020年4月15日,2.15,2.46,2.02,2.41,2.41,11378000
2020年4月14日,2.21,2.37,2.14,2.18,2.18,11747900
2020年4月13日,2.34,2.36,1.95,2.08,2.08,19784100
2020年4月09日,3.30,3.30,2.58,2.60,2.60,13981200
2020年4月08日,3.05,3.32,2.80,3.30,3.30,7997600
2020年4月07日,3.17,3.73,3.05,3.14,3.14,8977100
2020年4月06日,2.50,2.97,2.40,2.88,2.88,6912000
2020年4月03日,2.32,2.34,2.00,2.27,2.27,7493400
2020年4月02日,2.74,2.78,2.18,2.24,2.24,8808100
2020年4月01日,3.00,3.04,2.50,2.62,2.62,5898600
2020年3月31日,3.15,3.29,3.08,3.16,3.16,3637100
2020年3月30日,3.45,3.50,3.04,3.04,3.04,4219700
2020年3月27日,3.57,3.75,3.30,3.60,3.60,3431400
2020年3月26日,3.46,3.95,3.44,3.70,3.70,5094700
2020年3月25日,3.92,3.98,3.25,3.46,3.46,8112900
2020年3月24日,3.50,3.56,3.27,3.56,3.56,5168300
2020年3月23日,3.23,3.40,2.71,3.15,3.15,6481300
2020年3月20日,3.40,3.60,3.02,3.19,3.19,5754000
2020年3月19日,2.64,3.47,2.38,3.37,3.37,8614600
2020年3月18日,2.28,3.00,2.11,2.47,2.47,7753500
2020年3月17日,2.62,2.75,1.95,2.48,2.48,7685700
2020年3月16日,2.64,2.90,2.60,2.60,2.60,8497900
